accession_number,technology,assembly
"MT554225.1","Sanger dideoxy sequencing","NA"
"MT554224.1","Sanger dideoxy sequencing","NA"
"MT554223.1","Sanger dideoxy sequencing","NA"
"MT554222.1","Sanger dideoxy sequencing","NA"
"MT554221.1","Sanger dideoxy sequencing","NA"
"MT554220.1","Sanger dideoxy sequencing","NA"
"MT554219.1","Sanger dideoxy sequencing","NA"
"MT554218.1","Sanger dideoxy sequencing","NA"
"MT554217.1","Sanger dideoxy sequencing","NA"
"MT554216.1","Sanger dideoxy sequencing","NA"
"MT554215.1","Sanger dideoxy sequencing","NA"
"MT554214.1","Sanger dideoxy sequencing","NA"
"MT554213.1","Sanger dideoxy sequencing","NA"
"MT554212.1","Sanger dideoxy sequencing","NA"
"MT554211.1","Sanger dideoxy sequencing","NA"
"MT554210.1","Sanger dideoxy sequencing","NA"
"MT554209.1","Sanger dideoxy sequencing","NA"
"MT554208.1","Sanger dideoxy sequencing","NA"
"MT554207.1","Sanger dideoxy sequencing","NA"
"MT554206.1","Sanger dideoxy sequencing","NA"
"MT554205.1","Sanger dideoxy sequencing","NA"
"MT554204.1","Sanger dideoxy sequencing","NA"
"MT554203.1","Sanger dideoxy sequencing","NA"
"MT554202.1","Sanger dideoxy sequencing","NA"
"MT554201.1","Sanger dideoxy sequencing","NA"
"MT554200.1","Sanger dideoxy sequencing","NA"
"MT554199.1","Sanger dideoxy sequencing","NA"
"MT554198.1","Sanger dideoxy sequencing","NA"
"MT554197.1","Sanger dideoxy sequencing","NA"
"MT554196.1","Sanger dideoxy sequencing","NA"
"MT887287.1","NA","NA"
"LC521962.1","NA","NA"
"LC521961.1","NA","NA"
"LC521960.1","NA","NA"
"MT864008.1","NA","NA"
"MT832322.1","NA","NA"
"MT892955.1","NA","NA"
"MT561166.1","Illumina","Burrows-Wheeler aligner v. 0.7"
"MT419358.1","Illumina","LeeHOM v."
"MT419357.1","Illumina","LeeHOM v."
"MT419356.1","Illumina","LeeHOM v."
"MT419355.1","Illumina","LeeHOM v."
"MT419353.1","Illumina","LeeHOM v."
"MT419352.1","Illumina","LeeHOM v."
"MT419351.1","Illumina","LeeHOM v."
"MT419350.1","Illumina","LeeHOM v."
"MT419349.1","Illumina","LeeHOM v."
"MT419347.1","Illumina","LeeHOM v."
"MT419345.1","Illumina","LeeHOM v."
"MT419344.1","Illumina","LeeHOM v."
"MT419343.1","Illumina","LeeHOM v."
"MT419342.1","Illumina","LeeHOM v."
"MT419340.1","Illumina","LeeHOM v."
"MT419339.1","Illumina","LeeHOM v."
"ON983599.1","Illumina","BCFtools v. 1.15"
"ON983598.1","Illumina","BCFtools v. 1.15"
"ON983597.1","Illumina","BCFtools v. 1.15"
"ON983596.1","Illumina","BCFtools v. 1.15"
"ON983595.1","Illumina","BCFtools v. 1.15"
"ON983594.1","Illumina","BCFtools v. 1.15"
"ON983593.1","Illumina","BCFtools v. 1.15"
"ON983592.1","Illumina","BCFtools v. 1.15"
"ON983591.1","Illumina","BCFtools v. 1.15"
"ON983590.1","Illumina","BCFtools v. 1.15"
"ON983589.1","Illumina","BCFtools v. 1.15"
"ON983588.1","Illumina","BCFtools v. 1.15"
"ON983587.1","Illumina","BCFtools v. 1.15"
"ON983586.1","Illumina","BCFtools v. 1.15"
"ON983585.1","Illumina","BCFtools v. 1.15"
"ON983584.1","Illumina","BCFtools v. 1.15"
"ON983583.1","Illumina","BCFtools v. 1.15"
"ON983582.1","Illumina","BCFtools v. 1.15"
"ON983581.1","Illumina","BCFtools v. 1.15"
"ON983580.1","Illumina","BCFtools v. 1.15"
"MT419338.1","Illumina","LeeHOM v."
"MT419337.1","Illumina","LeeHOM v."
"MT419336.1","Illumina","LeeHOM v."
"MT419335.1","Illumina","LeeHOM v."
"MT419333.1","Illumina","LeeHOM v."
"MT419332.1","Illumina","LeeHOM v."
"MT419331.1","Illumina","LeeHOM v."
"MT419330.1","Illumina","LeeHOM v."
"MT419329.1","Illumina","LeeHOM v."
"MT419328.1","Illumina","LeeHOM v."
"MT419327.1","Illumina","LeeHOM v."
"MT419326.1","Illumina","LeeHOM v."
"MT419325.1","Illumina","LeeHOM v."
"MT419324.1","Illumina","LeeHOM v."
"MT419323.1","Illumina","LeeHOM v."
"MT419322.1","Illumina","LeeHOM v."
"MT419321.1","Illumina","LeeHOM v."
"MT419320.1","Illumina","LeeHOM v."
"MT419319.1","Illumina","LeeHOM v."
"MT419318.1","Illumina","LeeHOM v."
"MT419317.1","Illumina","LeeHOM v."
"MT419316.1","Illumina","LeeHOM v."
"MT419315.1","Illumina","LeeHOM v."
"MT419314.1","Illumina","LeeHOM v."
"MT419312.1","Illumina","LeeHOM v."
"MT419311.1","Illumina","LeeHOM v."
"MT419310.1","Illumina","LeeHOM v."
"MT419309.1","Illumina","LeeHOM v."
"MT419308.1","Illumina","LeeHOM v."
"MT419307.1","Illumina","LeeHOM v."
"MT419306.1","Illumina","LeeHOM v."
"MT419305.1","Illumina","LeeHOM v."
"MT419304.1","Illumina","LeeHOM v."
"MT419303.1","Illumina","LeeHOM v."
"MT419302.1","Illumina","LeeHOM v."
"MT419301.1","Illumina","LeeHOM v."
"MT419299.1","Illumina","LeeHOM v."
"MT419298.1","Illumina","LeeHOM v."
"MT419297.1","Illumina","LeeHOM v."
"MT419296.1","Illumina","LeeHOM v."
"MT419295.1","Illumina","LeeHOM v."
"MT419294.1","Illumina","LeeHOM v."
"MT419293.1","Illumina","LeeHOM v."
"MT419292.1","Illumina","LeeHOM v."
"MT419291.1","Illumina","LeeHOM v."
"MT419290.1","Illumina","LeeHOM v."
"MT419289.1","Illumina","LeeHOM v."
"MT419288.1","Illumina","LeeHOM v."
"MT419287.1","Illumina","LeeHOM v."
"MT419286.1","Illumina","LeeHOM v."
"MT419285.1","Illumina","LeeHOM v."
"MT419284.1","Illumina","LeeHOM v."
"MT419283.1","Illumina","LeeHOM v."
"MT419282.1","Illumina","LeeHOM v."
"MT419281.1","Illumina","LeeHOM v."
"MT419280.1","Illumina","LeeHOM v."
"MT419279.1","Illumina","LeeHOM v."
"MT419278.1","Illumina","LeeHOM v."
"MT419277.1","Illumina","LeeHOM v."
"MT419276.1","Illumina","LeeHOM v."
"MT419275.1","Illumina","LeeHOM v."
"MT419274.1","Illumina","LeeHOM v."
"MT419273.1","Illumina","LeeHOM v."
"MT419272.1","Illumina","LeeHOM v."
"MT419271.1","Illumina","LeeHOM v."
"MT419270.1","Illumina","LeeHOM v."
"MT419269.1","Illumina","LeeHOM v."
"MT419268.1","Illumina","LeeHOM v."
"MT419267.1","Illumina","LeeHOM v."
"MT419266.1","Illumina","LeeHOM v."
"MT419265.1","Illumina","LeeHOM v."
"MT419264.1","Illumina","LeeHOM v."
"MT419263.1","Illumina","LeeHOM v."
"MT419262.1","Illumina","LeeHOM v."
"MT419261.1","Illumina","LeeHOM v."
"MT419260.1","Illumina","LeeHOM v."
"MT419259.1","Illumina","LeeHOM v."
"MT419258.1","Illumina","LeeHOM v."
"MT419257.1","Illumina","LeeHOM v."
"MT419256.1","Illumina","LeeHOM v."
"MT419255.1","Illumina","LeeHOM v."
"MT419254.1","Illumina","LeeHOM v."
"MT419253.1","Illumina","LeeHOM v."
"MT419252.1","Illumina","LeeHOM v."
"MT419251.1","Illumina","LeeHOM v."
"MT419250.1","Illumina","LeeHOM v."
"MT419249.1","Illumina","LeeHOM v."
"MT419248.1","Illumina","LeeHOM v."
"MT419247.1","Illumina","LeeHOM v."
"MT419246.1","Illumina","LeeHOM v."
"MT419245.1","Illumina","LeeHOM v."
"MT419244.1","Illumina","LeeHOM v."
"MT419243.1","Illumina","LeeHOM v."
"MT419241.1","Illumina","LeeHOM v."
"MT419240.1","Illumina","LeeHOM v."
"MT419239.1","Illumina","LeeHOM v."
"MT419238.1","Illumina","LeeHOM v."
"MT419237.1","Illumina","LeeHOM v."
"MT419236.1","Illumina","LeeHOM v."
"MT419235.1","Illumina","LeeHOM v."
"MT419234.1","Illumina","LeeHOM v."
"MT419232.1","Illumina","LeeHOM v."
"MT419231.1","Illumina","LeeHOM v."
"MT419230.1","Illumina","LeeHOM v."
"MT419229.1","Illumina","LeeHOM v."
"MT419228.1","Illumina","LeeHOM v."
"MT419227.1","Illumina","LeeHOM v."
"MT419226.1","Illumina","LeeHOM v."
"MT419225.1","Illumina","LeeHOM v."
"MT419224.1","Illumina","LeeHOM v."
"MT419223.1","Illumina","LeeHOM v."
"MT419222.1","Illumina","LeeHOM v."
"MT419221.1","Illumina","LeeHOM v."
"MT419220.1","Illumina","LeeHOM v."
"MT419219.1","Illumina","LeeHOM v."
"MT419218.1","Illumina","LeeHOM v."
"MT419217.1","Illumina","LeeHOM v."
"MT419216.1","Illumina","LeeHOM v."
"MT419215.1","Illumina","LeeHOM v."
"MT419214.1","Illumina","LeeHOM v."
"MT419213.1","Illumina","LeeHOM v."
"MT419212.1","Illumina","LeeHOM v."
"MT419211.1","Illumina","LeeHOM v."
"MT419210.1","Illumina","LeeHOM v."
"MT419208.1","Illumina","LeeHOM v."
"MT419207.1","Illumina","LeeHOM v."
"MT419206.1","Illumina","LeeHOM v."
"MT419205.1","Illumina","LeeHOM v."
"MT419204.1","Illumina","LeeHOM v."
"MT419203.1","Illumina","LeeHOM v."
"MT419202.1","Illumina","LeeHOM v."
"MT419201.1","Illumina","LeeHOM v."
"MT419200.1","Illumina","LeeHOM v."
"MT419199.1","Illumina","LeeHOM v."
"MT419198.1","Illumina","LeeHOM v."
"MT419197.1","Illumina","LeeHOM v."
"MT419196.1","Illumina","LeeHOM v."
"MT419195.1","Illumina","LeeHOM v."
"MT419194.1","Illumina","LeeHOM v."
"MT419193.1","Illumina","LeeHOM v."
"MT419192.1","Illumina","LeeHOM v."
"MT419191.1","Illumina","LeeHOM v."
"MT419190.1","Illumina","LeeHOM v."
"MT419189.1","Illumina","LeeHOM v."
"MT419188.1","Illumina","LeeHOM v."
"MT419187.1","Illumina","LeeHOM v."
"MT419186.1","Illumina","LeeHOM v."
"MT419185.1","Illumina","LeeHOM v."
"MT419184.1","Illumina","LeeHOM v."
"MT419183.1","Illumina","LeeHOM v."
"MT419182.1","Illumina","LeeHOM v."
"MT419181.1","Illumina","LeeHOM v."
"MT419180.1","Illumina","LeeHOM v."
"MT419179.1","Illumina","LeeHOM v."
"MT419178.1","Illumina","LeeHOM v."
"MT419177.1","Illumina","LeeHOM v."
"MT419176.1","Illumina","LeeHOM v."
"MT419175.1","Illumina","LeeHOM v."
"MT419174.1","Illumina","LeeHOM v."
"MT419173.1","Illumina","LeeHOM v."
"MT419172.1","Illumina","LeeHOM v."
"MT419171.1","Illumina","LeeHOM v."
"MT419170.1","Illumina","LeeHOM v."
"MT419169.1","Illumina","LeeHOM v."
"MT419168.1","Illumina","LeeHOM v."
"MT419167.1","Illumina","LeeHOM v."
"MT419166.1","Illumina","LeeHOM v."
"MT419165.1","Illumina","LeeHOM v."
"MT419164.1","Illumina","LeeHOM v."
"MT419163.1","Illumina","LeeHOM v."
"MT419162.1","Illumina","LeeHOM v."
"MT419161.1","Illumina","LeeHOM v."
"MT419160.1","Illumina","LeeHOM v."
"MT419159.1","Illumina","LeeHOM v."
"MT419158.1","Illumina","LeeHOM v."
"MT419157.1","Illumina","LeeHOM v."
"MT419156.1","Illumina","LeeHOM v."
"MT419155.1","Illumina","LeeHOM v."
"MT419154.1","Illumina","LeeHOM v."
"MT419153.1","Illumina","LeeHOM v."
"MT419152.1","Illumina","LeeHOM v."
"MT419151.1","Illumina","LeeHOM v."
"MT419150.1","Illumina","LeeHOM v."
"MT419149.1","Illumina","LeeHOM v."
"MT419148.1","Illumina","LeeHOM v."
"MT419147.1","Illumina","LeeHOM v."
"MT419146.1","Illumina","LeeHOM v."
"MT419145.1","Illumina","LeeHOM v."
"MT419144.1","Illumina","LeeHOM v."
"MT419143.1","Illumina","LeeHOM v."
"MT419142.1","Illumina","LeeHOM v."
"MT419141.1","Illumina","LeeHOM v."
"MT419140.1","Illumina","LeeHOM v."
"MT419139.1","Illumina","LeeHOM v."
"MT419138.1","Illumina","LeeHOM v."
"MT419137.1","Illumina","LeeHOM v."
"MT419136.1","Illumina","LeeHOM v."
"MT419135.1","Illumina","LeeHOM v."
"MT419134.1","Illumina","LeeHOM v."
"MT419133.1","Illumina","LeeHOM v."
"ON983579.1","Illumina","BCFtools v. 1.15"
"ON983578.1","Illumina","BCFtools v. 1.15"
"ON983577.1","Illumina","BCFtools v. 1.15"
"ON983576.1","Illumina","BCFtools v. 1.15"
"ON983575.1","Illumina","BCFtools v. 1.15"
"ON983574.1","Illumina","BCFtools v. 1.15"
"ON983573.1","Illumina","BCFtools v. 1.15"
"ON983572.1","Illumina","BCFtools v. 1.15"
"ON983571.1","Illumina","BCFtools v. 1.15"
"ON983570.1","Illumina","BCFtools v. 1.15"
"ON983569.1","Illumina","BCFtools v. 1.15"
"ON983568.1","Illumina","BCFtools v. 1.15"
"ON983567.1","Illumina","BCFtools v. 1.15"
"ON983566.1","Illumina","BCFtools v. 1.15"
"ON983565.1","Illumina","BCFtools v. 1.15"
"ON983564.1","Illumina","BCFtools v. 1.15"
"ON983563.1","Illumina","BCFtools v. 1.15"
"ON983562.1","Illumina","BCFtools v. 1.15"
"ON983561.1","Illumina","BCFtools v. 1.15"
"ON983560.1","Illumina","BCFtools v. 1.15"
"MT419132.1","Illumina","LeeHOM v."
"MT419131.1","Illumina","LeeHOM v."
"MT419130.1","Illumina","LeeHOM v."
"MT419129.1","Illumina","LeeHOM v."
"MT419128.1","Illumina","LeeHOM v."
"MT419127.1","Illumina","LeeHOM v."
"MT419126.1","Illumina","LeeHOM v."
"MT419125.1","Illumina","LeeHOM v."
"MT419124.1","Illumina","LeeHOM v."
"MT419123.1","Illumina","LeeHOM v."
"MT419122.1","Illumina","LeeHOM v."
"MT419121.1","Illumina","LeeHOM v."
"MT419120.1","Illumina","LeeHOM v."
"MT419119.1","Illumina","LeeHOM v."
"MT419118.1","Illumina","LeeHOM v."
"MT419117.1","Illumina","LeeHOM v."
"MT419116.1","Illumina","LeeHOM v."
"MT419115.1","Illumina","LeeHOM v."
"MT419114.1","Illumina","LeeHOM v."
"MT419113.1","Illumina","LeeHOM v."
"MT419112.1","Illumina","LeeHOM v."
"MT419111.1","Illumina","LeeHOM v."
"MT419110.1","Illumina","LeeHOM v."
"MT419109.1","Illumina","LeeHOM v."
"MT419108.1","Illumina","LeeHOM v."
"MT419107.1","Illumina","LeeHOM v."
"MT419106.1","Illumina","LeeHOM v."
"MT419105.1","Illumina","LeeHOM v."
"MT419104.1","Illumina","LeeHOM v."
"MT419103.1","Illumina","LeeHOM v."
"MT419102.1","Illumina","LeeHOM v."
"MT419101.1","Illumina","LeeHOM v."
"MT419100.1","Illumina","LeeHOM v."
"MT419099.1","Illumina","LeeHOM v."
"MT419098.1","Illumina","LeeHOM v."
"MT419097.1","Illumina","LeeHOM v."
"MT419095.1","Illumina","LeeHOM v."
"MT419094.1","Illumina","LeeHOM v."
"MT419093.1","Illumina","LeeHOM v."
"MT419092.1","Illumina","LeeHOM v."
"MT419091.1","Illumina","LeeHOM v."
"MT419090.1","Illumina","LeeHOM v."
"MT419089.1","Illumina","LeeHOM v."
"MT419088.1","Illumina","LeeHOM v."
"MT419087.1","Illumina","LeeHOM v."
"MT419086.1","Illumina","LeeHOM v."
"MT419085.1","Illumina","LeeHOM v."
"MT419084.1","Illumina","LeeHOM v."
"MT419083.1","Illumina","LeeHOM v."
"MT419082.1","Illumina","LeeHOM v."
"MT419081.1","Illumina","LeeHOM v."
"MT419079.1","Illumina","LeeHOM v."
"MT419077.1","Illumina","LeeHOM v."
"MT419076.1","Illumina","LeeHOM v."
"MT419073.1","Illumina","LeeHOM v."
"MT419072.1","Illumina","LeeHOM v."
"MT419071.1","Illumina","LeeHOM v."
"MT419070.1","Illumina","LeeHOM v."
"MT419068.1","Illumina","LeeHOM v."
"MT419067.1","Illumina","LeeHOM v."
"MT419066.1","Illumina","LeeHOM v."
"MT419065.1","Illumina","LeeHOM v."
"MT419064.1","Illumina","LeeHOM v."
"MT419063.1","Illumina","LeeHOM v."
"MT419062.1","Illumina","LeeHOM v."
"MT419061.1","Illumina","LeeHOM v."
"MT419060.1","Illumina","LeeHOM v."
"MT419059.1","Illumina","LeeHOM v."
"MT419058.1","Illumina","LeeHOM v."
"MT419057.1","Illumina","LeeHOM v."
"MT419056.1","Illumina","LeeHOM v."
"MT419055.1","Illumina","LeeHOM v."
"MT419054.1","Illumina","LeeHOM v."
"MT419053.1","Illumina","LeeHOM v."
"MT419051.1","Illumina","LeeHOM v."
"MT419050.1","Illumina","LeeHOM v."
"MT419049.1","Illumina","LeeHOM v."
"MT419048.1","Illumina","LeeHOM v."
"MT419047.1","Illumina","LeeHOM v."
"MT419046.1","Illumina","LeeHOM v."
"MT419045.1","Illumina","LeeHOM v."
"MT419044.1","Illumina","LeeHOM v."
"MT419043.1","Illumina","LeeHOM v."
"MT419042.1","Illumina","LeeHOM v."
"MT419041.1","Illumina","LeeHOM v."
"MT419040.1","Illumina","LeeHOM v."
"MT419038.1","Illumina","LeeHOM v."
"MT419037.1","Illumina","LeeHOM v."
"MT419036.1","Illumina","LeeHOM v."
"MT419035.1","Illumina","LeeHOM v."
"MT419033.1","Illumina","LeeHOM v."
"MT419032.1","Illumina","LeeHOM v."
"MT419031.1","Illumina","LeeHOM v."
"MT419030.1","Illumina","LeeHOM v."
"MT419029.1","Illumina","LeeHOM v."
"MT419028.1","Illumina","LeeHOM v."
"MT419027.1","Illumina","LeeHOM v."
"MT419026.1","Illumina","LeeHOM v."
"MT419024.1","Illumina","LeeHOM v."
"MT419023.1","Illumina","LeeHOM v."
"MT419022.1","Illumina","LeeHOM v."
"MT419021.1","Illumina","LeeHOM v."
"MT419020.1","Illumina","LeeHOM v."
"MT419019.1","Illumina","LeeHOM v."
"MT419018.1","Illumina","LeeHOM v."
"MT419017.1","Illumina","LeeHOM v."
"MT419016.1","Illumina","LeeHOM v."
"MT419015.1","Illumina","LeeHOM v."
"MT419014.1","Illumina","LeeHOM v."
"MT419012.1","Illumina","LeeHOM v."
"MT419011.1","Illumina","LeeHOM v."
"MT419010.1","Illumina","LeeHOM v."
"MT419009.1","Illumina","LeeHOM v."
"MT419008.1","Illumina","LeeHOM v."
"MT419007.1","Illumina","LeeHOM v."
"MT419006.1","Illumina","LeeHOM v."
"MT419005.1","Illumina","LeeHOM v."
"MT419004.1","Illumina","LeeHOM v."
"MT419003.1","Illumina","LeeHOM v."
"MT419002.1","Illumina","LeeHOM v."
"MT419001.1","Illumina","LeeHOM v."
"MT419000.1","Illumina","LeeHOM v."
"MT418999.1","Illumina","LeeHOM v."
"MT418998.1","Illumina","LeeHOM v."
"MT418997.1","Illumina","LeeHOM v."
"MT418995.1","Illumina","LeeHOM v."
"MT418994.1","Illumina","LeeHOM v."
"MT418993.1","Illumina","LeeHOM v."
"MT418992.1","Illumina","LeeHOM v."
"MT418991.1","Illumina","LeeHOM v."
"MT418990.1","Illumina","LeeHOM v."
"MT418989.1","Illumina","LeeHOM v."
"MT418988.1","Illumina","LeeHOM v."
"MT418986.1","Illumina","LeeHOM v."
"MT418985.1","Illumina","LeeHOM v."
"MT418984.1","Illumina","LeeHOM v."
"MT418983.1","Illumina","LeeHOM v."
"MT418982.1","Illumina","LeeHOM v."
"MT418980.1","Illumina","LeeHOM v."
"MT418978.1","Illumina","LeeHOM v."
"MT418977.1","Illumina","LeeHOM v."
"MT418976.1","Illumina","LeeHOM v."
"MT418975.1","Illumina","LeeHOM v."
"MT418974.1","Illumina","LeeHOM v."
"MT418973.1","Illumina","LeeHOM v."
"MT418972.1","Illumina","LeeHOM v."
"MT418971.1","Illumina","LeeHOM v."
"MT418970.1","Illumina","LeeHOM v."
"MT418969.1","Illumina","LeeHOM v."
"MT418968.1","Illumina","LeeHOM v."
"MT418967.1","Illumina","LeeHOM v."
"MT418966.1","Illumina","LeeHOM v."
"MT418965.1","Illumina","LeeHOM v."
"MT418964.1","Illumina","LeeHOM v."
"MT418963.1","Illumina","LeeHOM v."
"MT418962.1","Illumina","LeeHOM v."
"MT418961.1","Illumina","LeeHOM v."
"MT418960.1","Illumina","LeeHOM v."
"MT418959.1","Illumina","LeeHOM v."
"MT418958.1","Illumina","LeeHOM v."
"MT418957.1","Illumina","LeeHOM v."
"MT418956.1","Illumina","LeeHOM v."
"MT418955.1","Illumina","LeeHOM v."
"MT418954.1","Illumina","LeeHOM v."
"MT418953.1","Illumina","LeeHOM v."
"MT418952.1","Illumina","LeeHOM v."
"MT418951.1","Illumina","LeeHOM v."
"MT418950.1","Illumina","LeeHOM v."
"MT418949.1","Illumina","LeeHOM v."
"MT418948.1","Illumina","LeeHOM v."
"MT418947.1","Illumina","LeeHOM v."
"MT418946.1","Illumina","LeeHOM v."
"MT418945.1","Illumina","LeeHOM v."
"MT418944.1","Illumina","LeeHOM v."
"MT418943.1","Illumina","LeeHOM v."
"MH671328.1","Illumina","bwa v. 0.7.12"
"MH671327.1","Illumina","bwa v. 0.7.12"
"MH671326.1","Illumina","bwa v. 0.7.12"
"MH671325.1","Illumina","bwa v. 0.7.12"
"MH671324.1","Illumina","bwa v. 0.7.12"
"MH671323.1","Illumina","bwa v. 0.7.12"
"MH671322.1","Illumina","bwa v. 0.7.12"
"MH671321.1","Illumina","bwa v. 0.7.12"
"MN095207.1","Sanger dideoxy sequencing","NA"
"MN095206.1","Sanger dideoxy sequencing","NA"
"MN095205.1","Sanger dideoxy sequencing","NA"
"MT803551.1","NA","NA"
"MT803552.1","NA","NA"
"MT780274.1","NA","NA"
"MT755607.1","NA","NA"
"MT739813.1","NA","NA"
"MT782894.1","NA","NA"
"MH807374.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807373.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807372.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807371.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807370.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807369.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807368.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807367.1","Illumina","Unipro UGENE v. v.1.29.0"
"ON983559.1","Illumina","BCFtools v. 1.15"
"ON983558.1","Illumina","BCFtools v. 1.15"
"ON983557.1","Illumina","BCFtools v. 1.15"
"ON983556.1","Illumina","BCFtools v. 1.15"
"ON983555.1","Illumina","BCFtools v. 1.15"
"ON983554.1","Illumina","BCFtools v. 1.15"
"ON983553.1","Illumina","BCFtools v. 1.15"
"ON983552.1","Illumina","BCFtools v. 1.15"
"ON983551.1","Illumina","BCFtools v. 1.15"
"ON983550.1","Illumina","BCFtools v. 1.15"
"ON983549.1","Illumina","BCFtools v. 1.15"
"ON983548.1","Illumina","BCFtools v. 1.15"
"ON983547.1","Illumina","BCFtools v. 1.15"
"ON983546.1","Illumina","BCFtools v. 1.15"
"ON983545.1","Illumina","BCFtools v. 1.15"
"ON983544.1","Illumina","BCFtools v. 1.15"
"ON983543.1","Illumina","BCFtools v. 1.15"
"ON983542.1","Illumina","BCFtools v. 1.15"
"ON983541.1","Illumina","BCFtools v. 1.15"
"ON983540.1","Illumina","BCFtools v. 1.15"
"MH807366.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807365.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807363.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807362.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807361.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807360.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807358.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807357.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807356.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807355.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807354.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807353.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807352.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807351.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807350.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807349.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807348.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807347.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807346.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807345.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807344.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807343.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807342.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807341.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807340.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807339.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807338.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807337.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807336.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807335.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807334.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807333.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807332.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807331.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807330.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807329.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807328.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807327.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807326.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807325.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807324.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807323.1","Illumina","Unipro UGENE v. v.1.29.0"
"MH807322.1","Illumina","Unipro UGENE v. v.1.29.0"
"MN687297.1","Illumina","BWA v. 0.7.15"
"MN687296.1","Illumina","BWA v. 0.7.15"
"MN687295.1","Ion Torrent","BWA v. 0.7.15"
"MN687294.1","Ion Torrent","BWA v. 0.7.15"
"MN687293.1","Illumina","BWA v. 0.7.15"
"MN687292.1","Illumina","BWA v. 0.7.15"
"MN687291.1","Illumina","BWA v. 0.7.15"
"MN687290.1","Illumina","BWA v. 0.7.15"
"MN687289.1","Illumina","BWA v. 0.7.15"
"MN687288.1","Illumina","BWA v. 0.7.15"
"MN687287.1","Illumina","BWA v. 0.7.15"
"MN687286.1","Illumina","BWA v. 0.7.15"
"MN687285.1","Illumina","BWA v. 0.7.15"
"MN687284.1","Illumina","BWA v. 0.7.15"
"MN687283.1","Ion Torrent","BWA v. 0.7.15"
"MN687282.1","Ion Torrent","BWA v. 0.7.15"
"MN687281.1","Illumina","BWA v. 0.7.15"
"MN687280.1","Ion Torrent","BWA v. 0.7.15"
"MN687279.1","Ion Torrent","BWA v. 0.7.15"
"MN687278.1","Illumina","BWA v. 0.7.15"
"MN687277.1","Ion Torrent","BWA v. 0.7.15"
"MN687276.1","Illumina","BWA v. 0.7.15"
"MN687275.1","Ion Torrent","BWA v. 0.7.15"
"MN687274.1","Illumina","BWA v. 0.7.15"
"MN687273.1","Ion Torrent","BWA v. 0.7.15"
"MN687272.1","Illumina","BWA v. 0.7.15"
"MN687271.1","Illumina","BWA v. 0.7.15"
"MN687270.1","Illumina","BWA v. 0.7.15"
"MN687269.1","Illumina","BWA v. 0.7.15"
"MN687268.1","Illumina","BWA v. 0.7.15"
"MN687267.1","Illumina","BWA v. 0.7.15"
"MN687266.1","Ion Torrent","BWA v. 0.7.15"
"MN687265.1","Ion Torrent","BWA v. 0.7.15"
