accession_number,technology,assembly
"MF177155.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177154.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177153.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177152.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177151.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177150.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177149.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177148.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177147.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177146.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177145.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177144.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177143.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177142.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177141.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177140.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177139.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177138.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177137.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177136.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177135.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"MF177134.1","454; Sanger dideoxy sequencing","SeqScape v. v2.5; GS Reference Mapper v."
"KX459563.1","NA","NA"
"KY797261.2","Illumina","BWA v. 0.7.15"
"KY797260.2","Illumina","BWA v. 0.7.15"
"KY797259.2","Illumina","BWA v. 0.7.15"
"KY797258.2","Illumina","BWA v. 0.7.15"
"KY797255.2","Illumina","BWA v. 0.7.15"
"KY797249.1","Illumina","BWA v. 0.7.15"
"KY797248.1","Illumina","BWA v. 0.7.15"
"KY797247.1","Illumina","BWA v. 0.7.15"
"KY797246.1","Illumina","BWA v. 0.7.15"
"KY797245.1","Illumina","BWA v. 0.7.15"
"KY797244.1","Illumina","BWA v. 0.7.15"
"KY797243.1","Illumina","BWA v. 0.7.15"
"KY797242.1","Illumina","BWA v. 0.7.15"
"KY797241.1","Illumina","BWA v. 0.7.15"
"KY797240.1","Illumina","BWA v. 0.7.15"
"KY797239.1","Illumina","BWA v. 0.7.15"
"KY797238.1","Illumina","BWA v. 0.7.15"
"KY797237.1","Illumina","BWA v. 0.7.15"
"KY797236.1","Illumina","BWA v. 0.7.15"
"KY797235.1","Illumina","BWA v. 0.7.15"
"KY797234.1","Illumina","BWA v. 0.7.15"
"KY797233.1","Illumina","BWA v. 0.7.15"
"KY797232.1","Illumina","BWA v. 0.7.15"
"KY797231.1","Illumina","BWA v. 0.7.15"
"KY797230.1","Illumina","BWA v. 0.7.15"
"KY797229.1","Illumina","BWA v. 0.7.15"
"KY797228.1","Illumina","BWA v. 0.7.15"
"KY797227.1","Illumina","BWA v. 0.7.15"
"KY797226.1","Illumina","BWA v. 0.7.15"
"KY797225.1","Illumina","BWA v. 0.7.15"
"KY797224.1","Illumina","BWA v. 0.7.15"
"KY797223.1","Illumina","BWA v. 0.7.15"
