motif,profiles
M7b1a,
M7b1a1,
M7b1a1a,NA18636
M7b1a1a1,NA19075 NA18638
M7b1a1a1a,
M7b1a1a1b,
M7b1a1a1b1,NA18952
M7b1a1a1c,
M7b1a1a1d,
M7b1a1a2,NA18769 NA18149
M7b1a1a3,HG00524 HG00512 NA18943
M7b1a1b,
M7b1a1+(16192),HG00525 NA18771 NA18582 NA17971
M7b1a1c,NA18550
M7b1a1c1,
M7b1a1d,HG00403
M7b1a1d1,HG00593
M7b1a1e,
M7b1a1e1,NA18124
M7b1a1e2,HG00448
M7b1a1f,
M7b1a1g,NA18644
M7b1a1h,
M7b1a1i,
M7b1a1i1,
M7b1a2,NA17969
M7b1a2a,
M7b1a2a1,
M7b1a2a1a,
M7b1a2a1b,
M7b1a2a1b1,
M7b1b,
M7b2,
M7b2a,
M7c,
M7c1,NA18755
M7c1a,
M7c1a1,
M7c1a1a,HG00611
M7c1a1a1,
M7c1a1b,
M7c1a1b1,
M7c1a2,
M7c1a2a,
M7c1a2a1,
M7c1a3,
M7c1a3a,NA18618
M7c1a4,
M7c1a4a,NA18756
M7c1a4b,
M7c1a5,
M7c1b,
M7c1b1,
M7c1b2,
M7c1b2a,NA18639
M7c1b2b,NA18574 NA18152
M7c1c,
M7c1c1,
M7c1c1a,
M7c1c1a1,
M7c1c2,NA18707 NA18138
M7c1c2a,
M7c1c3,
M7c1c3a,
M7c1c3a1,
M7c1c3b,
M7c1c3c,NA18674
M7c1c3d,
M7c1c3e,
M7c1c3f,
M7c1c3g,
M7c1c3h,
M7c1c3i,
M7c2,
M7c2a,
M7c2b,
M7c3,
M8,
M8a,
M8a1,
M8a1a,
M8a2'3,
M8a2,NA18538 NA18157
M8a2+152,
M8a2a,
M8a2a1,NA18745
M8a2b,
M8a2c,NA18994
M8a2d,
M8a2e,NA18105
M8a3,NA18646
M8a3a,
M8a3a1,NA18950
CZ,
C,
C1,
C1a,
C1b,
C1b1,
C1b2,HG01204 HG01190 HG01102 HG01072 HG01069 HG01067 HG01048 HG00737 HG00734 HG00641
C1b3,NA19788
C1b4,HG01101 HG01070
C1b5,
C1b5a,
C1b5b,
C1b6,
C1b+16311,NA20299
C1b7,
C1b7a,NA19762
C1b10,
C1b8,
C1b8a,
C1b9,
C1b11,
C1b12,NA19786 NA19753 NA19657
C1b13,
C1b13a,
C1b13a1,
C1b13b,
C1b13c,
C1b13c1,
C1b13d,
C1b13e,
C1b14,
C1c,NA19732
C1c1,
C1c1a,
C1c1b,NA19717
C1c2,
C1c3,HG01461
C1c4,
C1c5,
C1c+195,HG01066
C1c6,
C1c7,
C1c8,
C1d,
C1d+194,
C1d1,HG01462
C1d1a,
C1d1a1,
C1d1b,
C1d1b1,
C1d1c,
C1d1c1,
C1d1d,
C1d2,
C1d2a,
C1d3,
C1e,
C1f,
C4,
C4a'b'c,
C4a,
C4a1,
C4a1a,
C4a1a1,
C4a1a1a,
C4a1a+195,
C4a1a2,
C4a1a2a,HG00428
C4a1a3,
C4a1a3a,
C4a1a3a1,
C4a1a3b,
C4a1a3c,
C4a1a3d,
C4a1a4,
C4a1a4a,
C4a1a5,
C4a1a6,
C4a1b,
C4a2,
C4a2a,
C4a2a1,
C4a2a1a,
C4a2a1b,
C4a2b,
C4a2b1,
C4a2b2,NA18547
C4a2b2a,
C4a2c,
C4a2c1,
C4a2c2,
C4a2c2a,
C4b,
C4b1,
C4b1a,
C4b1b,
C4b2,
C4b2a,
C4b3,
C4b3a,
C4b3a1,
C4b3b,
C4b5,
C4b6,
C4b7,
C4b8,
C4b8a,
C4c,
C4c1,
C4c1a,
C4c1b,
C4c2,
C4+152,
C4+152+16093,
C4d,NA18631
C4e,
C5,
C5a,
C5a1,
C5a2,
C5a2a,
C5a2b,
C5a2b1,
C5b,
C5b1,
C5b1a,
C5b1a1,
C5b1b,
C5b1b1,
C5+16093,NA18566
C5c,
C5c+16234,
C5c1,
C5c1a,
C5d,
C5d1,
C5d2,
C7,
C7a,NA18542 NA18160
C7a1,NA18155
C7a1a,
C7a1a1,
C7a1a2,
C7a1c,
C7a1d,
C7a2,NA18127
C7a2a,NA18669
C7+16051,
C7b,NA17982
Z,
Z+152,
Z1,
Z1a,
Z1a1,
Z1a1a,
Z1a1b,
Z1a2,
Z1a2a,
Z1a3,
Z2,
Z3,NA19084 NA18753
Z3a,
Z3a1,
Z3a1a,
Z3a2,
Z3b,
Z3+709,
Z3c,NA19072
Z3d,
Z4,
Z4a,HG00476 NA19005 NA17980
Z4a1,
Z4a1a,HG00436
Z4a1a1,NA18942
Z7,
Z5,
M9,
M9a'b,
M9a,
M9a1,
M9a1a,
M9a1a1,
