accession,seq_tech,geo_origin
HG01462,Illumina,"Medellin, Colombia"
HG01461,Illumina,"Medellin, Colombia"
NA19663,Illumina,"Los Angeles, California"
NA19657,Illumina,"Los Angeles, California"
NA19664,Illumina,"Los Angeles, California"
HG00732,Illumina,Puerto Rico
HG00734,Illumina,Puerto Rico
HG01048,Illumina,Puerto Rico
HG01080,Illumina,Puerto Rico
HG01047,Illumina,Puerto Rico
HG01055,Illumina,Puerto Rico
HG01066,Illumina,Puerto Rico
HG00737,Illumina,Puerto Rico
HG00641,Illumina,Puerto Rico
HG00740,Illumina,Puerto Rico
HG01079,Illumina,Puerto Rico
HG00731,Illumina,Puerto Rico
HG00736,Illumina,Puerto Rico
HG01067,Illumina,Puerto Rico
HG01619,ABI_SOLID,Spain
NA19922,ABI_SOLID,"Southwest, US"
NA20298,ABI_SOLID,"Southwest, US"
HG01625,ABI_SOLID,Spain
HG01624,ABI_SOLID,Spain
HG01626,ABI_SOLID,Spain
