accession,seq_tech,geo_origin,source,asm_method,pub_title,first_aut,pubmed_id,pub_date
NA20768,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20811,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20812,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20813,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20818,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20586,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20806,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20761,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20809,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20515,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20516,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA07056,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12777,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12546,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12778,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA12413,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA11892,ILLUMINA,Utah Residents (CEPH) with Northern and Western European Ancestry,1K_GENOMES,,,,,
NA20534,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20542,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20541,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20540,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20539,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20756,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20753,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20588,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20582,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20543,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20755,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20754,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20765,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20790,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20786,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20805,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20803,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20773,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20774,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20769,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20771,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20772,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20800,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20802,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20795,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20808,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20810,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA19222,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19189,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA20828,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20533,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20796,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20792,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA19088,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA19087,ILLUMINA,Japanese in Tokyo,1K_GENOMES,,,,,
NA20804,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20801,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20537,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20775,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20787,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20785,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20778,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20783,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20770,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20581,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20799,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20797,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20758,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20759,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20760,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20819,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20816,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20815,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA20826,ILLUMINA,Toscani in Italy,1K_GENOMES,,,,,
NA19107,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
NA19256,ILLUMINA,Yoruba in Nigeria,1K_GENOMES,,,,,
